#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 319625:6921 | 07/14/18 14:05:51 | 190  | 190  | 72.511899685   | 70.164265643  |
| 319639:6923 | 07/14/18 18:52:13 | 1479 | 1479 | 421.512005746  | 407.373710925 |
| 319656:6924 | 07/15/18 07:24:28 | 260  | 260  | 92.382468995   | 87.598408028  |
| 319657:6924 | 07/15/18 09:09:07 | 167  | 167  | 53.500422216   | 51.580708057  |
| 319658:6924 | 07/15/18 10:16:04 | 225  | 225  | 64.527897823   | 62.333165341  |
| 319659:6924 | 07/15/18 11:50:26 | 87   | 87   | 22.489752469   | 21.673288666  |
| 319678:6925 | 07/15/18 15:20:13 | 259  | 259  | 98.531699121   | 94.922781085  |
| 319687:6927 | 07/15/18 22:28:04 | 45   | 45   | 16.407833860   | 15.975914654  |
| 319697:6929 | 07/16/18 02:17:40 | 437  | 437  | 63.004310881   | 60.707905558  |
| 319698:6929 | 07/16/18 05:13:10 | 312  | 312  | 37.210359729   | 36.302134781  |
| 319756:6931 | 07/16/18 15:39:04 | 1923 | 1923 | 504.815839000  | 488.011387276 |
| 319840:6939 | 07/17/18 22:27:53 | 348  | 348  | 51.540146166   | 49.988444960  |
| 319841:6939 | 07/18/18 00:44:33 | 167  | 167  | 20.947025512   | 20.384650051  |
| 319847:6940 | 07/18/18 04:02:30 | 3    | 3    | 1.319769121    | 0.898171697   |
| 319848:6940 | 07/18/18 04:04:45 | 53   | 53   | 19.831076140   | 18.987778381  |
| 319849:6940 | 07/18/18 04:28:02 | 492  | 492  | 179.659514436  | 173.015217637 |
| 319851:6940 | 07/18/18 07:46:30 | 4    | 4    | 1.246310553    | 1.133497437   |
| 319853:6940 | 07/18/18 08:01:32 | 256  | 256  | 73.043827848   | 70.947312854  |
| 319854:6940 | 07/18/18 09:44:34 | 225  | 225  | 54.986625549   | 53.474835242  |
| 319908:6942 | 07/19/18 02:40:13 | 51   | 51   | 19.468062543   | 18.193886839  |
| 319909:6942 | 07/19/18 03:03:13 | 7    | 7    | 2.730582587    | 1.114268353   |
| 319910:6942 | 07/19/18 03:09:20 | 983  | 983  | 314.203335628  | 303.637228602 |
| 319912:6942 | 07/19/18 09:34:18 | 59   | 59   | 14.092262943   | 13.362347536  |
| 319913:6942 | 07/19/18 09:59:24 | 56   | 56   | 12.971225026   | 12.520346627  |
| 319914:6942 | 07/19/18 10:22:49 | 32   | 32   | 7.223940588    | 6.852683889   |
| 319915:6942 | 07/19/18 10:37:23 | 416  | 416  | 88.568578295   | 86.439729349  |
| 319941:6944 | 07/19/18 19:59:35 | 256  | 256  | 98.636835756   | 94.051668413  |
| 319942:6944 | 07/19/18 21:41:30 | 50   | 50   | 17.885399972   | 17.412995797  |
| 319950:6946 | 07/20/18 02:45:30 | 168  | 168  | 67.576418442   | 65.679983810  |
| 319991:6953 | 07/20/18 15:48:51 | 837  | 837  | 291.448744639  | 281.067406459 |
| 319992:6953 | 07/20/18 21:15:39 | 264  | 264  | 68.037634822   | 65.320316073  |
| 319993:6953 | 07/20/18 23:01:06 | 955  | 955  | 186.844809064  | 181.798325456 |
| 320002:6956 | 07/21/18 08:17:32 | 141  | 141  | 52.283457235   | 49.971979574  |
| 320006:6956 | 07/21/18 09:46:32 | 340  | 340  | 117.453025030  | 113.727464441 |
| 320010:6956 | 07/21/18 14:27:42 | 330  | 330  | 76.450467876   | 74.468634350  |
| 320011:6956 | 07/21/18 16:38:02 | 302  | 302  | 62.845936176   | 60.879191896  |
| 320012:6956 | 07/21/18 18:38:20 | 99   | 99   | 18.632311391   | 17.983606622  |
| 320023:6957 | 07/21/18 21:33:03 | 276  | 276  | 103.513595053  | 98.418552324  |
| 320024:6957 | 07/21/18 23:21:36 | 410  | 410  | 129.966473858  | 125.981011799 |
| 320025:6957 | 07/22/18 02:03:20 | 113  | 113  | 31.091944624   | 29.993572517  |
| 320026:6957 | 07/22/18 02:49:54 | 204  | 204  | 51.346301406   | 49.873823752  |
