#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 276502:5078 | 07/08/16 05:20:54 | 741  | 741  | 88.980130348   | 86.178507983  |
| 276525:5080 | 07/08/16 14:14:55 | 2799 | 2793 | 422.460644978  | 406.933303198 |
| 276527:5080 | 07/09/16 08:34:41 | 214  | 214  | 23.371638603   | 22.643718460  |
| 276528:5080 | 07/09/16 10:00:39 | 394  | 394  | 40.052211043   | 38.702582788  |
| 276542:5083 | 07/09/16 16:32:22 | 785  | 784  | 157.981472082  | 150.098805451 |
| 276543:5083 | 07/09/16 21:39:40 | 961  | 959  | 157.182525804  | 149.648536727 |
| 276544:5083 | 07/10/16 03:53:24 | 163  | 161  | 23.541266098   | 22.197193950  |
| 276545:5083 | 07/10/16 04:59:01 | 207  | 207  | 27.974555475   | 26.880402773  |
| 276581:5085 | 07/10/16 12:24:16 | 369  | 369  | 78.584932866   | 74.866908706  |
| 276582:5085 | 07/10/16 14:52:29 | 873  | 873  | 157.188412659  | 151.514659477 |
| 276583:5085 | 07/10/16 20:34:28 | 60   | 56   | 9.614796489    | 7.915070046   |
| 276584:5085 | 07/10/16 20:59:17 | 2    | 2    | 0.319045210    | 0.174379041   |
| 276585:5085 | 07/10/16 21:31:21 | 253  | 246  | 38.388804204   | 35.229363846  |
| 276586:5085 | 07/10/16 23:10:08 | 760  | 752  | 102.328552999  | 97.861972170  |
| 276587:5085 | 07/11/16 04:13:21 | 1006 | 1006 | 112.642492660  | 108.607793120 |
| 276653:5091 | 07/12/16 00:12:31 | 491  | 484  | 92.765055742   | 87.327132589  |
| 276655:5091 | 07/12/16 03:26:27 | 1113 | 1105 | 174.745438067  | 163.109976308 |
| 276659:5091 | 07/12/16 10:39:13 | 251  | 251  | 33.183422416   | 30.365549386  |
| 276775:5093 | 07/12/16 21:26:20 | 1174 | 1165 | 222.366753596  | 209.558612598 |
| 276776:5093 | 07/13/16 05:02:29 | 1823 | 1823 | 246.879948103  | 238.494779793 |
| 276794:5093 | 07/13/16 17:05:19 | 885  | 885  | 90.241066532   | 87.941957009  |
| 276807:5095 | 07/14/16 03:24:10 | 162  | 160  | 34.115160261   | 30.768740691  |
| 276808:5095 | 07/14/16 04:28:59 | 883  | 877  | 167.212331656  | 159.470572304 |
| 276810:5095 | 07/14/16 10:15:44 | 291  | 288  | 47.789945860   | 45.167887124  |
| 276811:5095 | 07/14/16 12:15:34 | 2563 | 2563 | 314.203317396  | 304.356839086 |
| 276831:5096 | 07/15/16 07:47:46 | 2648 | 2644 | 422.163995931  | 404.186095108 |
| 276834:5096 | 07/16/16 01:42:10 | 729  | 724  | 77.121640794   | 73.217236103  |
| 276870:5097 | 07/16/16 11:02:01 | 3403 | 3403 | 551.979911450  | 531.765583211 |
| 276935:5101 | 07/17/16 23:39:55 | 824  | 824  | 181.424267936  | 171.845603331 |
| 276940:5102 | 07/18/16 08:13:36 | 145  | 144  | 34.563730196   | 29.025450952  |
| 276946:5102 | 07/18/16 09:56:36 | 34   | 27   | 7.836890065    | 4.299742150   |
| 276947:5102 | 07/18/16 10:11:19 | 150  | 141  | 33.502408439   | 24.873114274  |
| 276948:5102 | 07/18/16 11:09:47 | 481  | 475  | 97.896925485   | 86.854899201  |
| 276950:5102 | 07/18/16 14:16:45 | 2353 | 2353 | 340.675434082  | 326.195781331 |
| 277069:5105 | 07/19/16 17:52:15 | 314  | 311  | 81.222675393   | 76.408142669  |
| 277070:5105 | 07/19/16 19:54:11 | 1063 | 1060 | 220.774318455  | 208.687485916 |
| 277071:5105 | 07/20/16 02:48:37 | 171  | 171  | 29.568979681   | 26.613802570  |
| 277072:5105 | 07/20/16 04:01:41 | 482  | 473  | 75.043227473   | 69.830645322  |
| 277073:5105 | 07/20/16 07:09:53 | 98   | 91   | 14.438662966   | 12.867860522  |
| 277076:5105 | 07/20/16 07:55:58 | 1033 | 1033 | 132.130281394  | 127.053782854 |
| 277087:5105 | 07/20/16 17:49:22 | 988  | 988  | 90.155085389   | 87.060089979  |
| 277094:5106 | 07/21/16 04:03:56 | 596  | 588  | 141.136091949  | 132.577619208 |
| 277096:5106 | 07/21/16 07:56:14 | 2093 | 2086 | 337.670265983  | 323.779499519 |
| 277112:5106 | 07/21/16 21:29:34 | 155  | 155  | 18.210637399   | 17.565889335  |
| 277126:5107 | 07/22/16 01:36:48 | 19   | 18   | 4.631793515    | 1.989960970   |
| 277127:5107 | 07/22/16 01:46:10 | 901  | 901  | 193.479191579  | 185.988483389 |
| 277148:5108 | 07/22/16 10:31:04 | 633  | 628  | 138.872723435  | 129.584054569 |
| 277166:5109 | 07/22/16 18:10:23 | 357  | 355  | 75.812406883   | 71.423448381  |
| 277168:5109 | 07/22/16 20:34:53 | 2223 | 2223 | 334.324712066  | 322.020905696 |
| 277180:5110 | 07/23/16 13:37:57 | 141  | 141  | 34.065290099   | 31.605772175  |
| 277194:5111 | 07/23/16 18:25:08 | 1954 | 1954 | 393.460579755  | 371.051725367 |
| 277305:5116 | 07/25/16 01:23:14 | 683  | 683  | 164.878863000  | 156.008009316 |
| 277420:5117 | 07/25/16 19:44:15 | 263  | 263  | 65.979839246   | 61.594067703  |
| 277981:5151 | 08/01/16 11:52:59 | 81   | 76   | 5.230267668    | 4.507902098   |
| 277991:5151 | 08/01/16 15:43:56 | 98   | 90   | 5.639200963    | 4.650077156   |
| 277992:5151 | 08/01/16 16:22:25 | 311  | 311  | 17.432449079   | 16.565389561  |
| 278017:5154 | 08/01/16 23:26:43 | 521  | 517  | 135.961325475  | 126.317713418 |
